sales_game_id,title,platform,genre,publisher,developer,release_year,source
148,Final Fantasy XII,PS2,Role-Playing,Square Enix,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
149,LittleBigPlanet,PS3,Platform,Sony Computer Entertainment,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
151,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
152,Resident Evil 2,PS,Action,Virgin Interactive,,1998.0,kaggle:ulrikthygepedersen/video-games-sales
153,Tekken 2,PS,Fighting,Sony Computer Entertainment,,1996.0,kaggle:ulrikthygepedersen/video-games-sales
154,Cooking Mama,DS,Simulation,505 Games,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
155,Destiny,PS4,Shooter,Activision,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
156,Tetris,NES,Puzzle,Nintendo,,1988.0,kaggle:ulrikthygepedersen/video-games-sales
157,Assassin's Creed II,PS3,Action,Ubisoft,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
158,Super Smash Bros.,N64,Fighting,Nintendo,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
159,Assassin's Creed,X360,Adventure,Ubisoft,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
160,Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
161,Forza Motorsport 3,X360,Racing,Microsoft Game Studios,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
162,Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
163,Super Mario Advance,GBA,Platform,Nintendo,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
164,Mario Kart: Super Circuit,GBA,Racing,Nintendo,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
165,Super Mario World,GBA,Platform,Nintendo,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
166,Pokemon Stadium,N64,Strategy,Nintendo,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
167,Call of Duty: World at War,PS3,Shooter,Activision,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
168,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
169,Minecraft,PS3,Misc,Sony Computer Entertainment,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
170,Final Fantasy XIII,PS3,Role-Playing,Square Enix,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
171,Dr. Mario,GB,Puzzle,Nintendo,,1989.0,kaggle:ulrikthygepedersen/video-games-sales
172,Pokemon Pinball,GB,Misc,Nintendo,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
173,Assassin's Creed III,X360,Action,Ubisoft,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
174,Final Fantasy IX,PS,Role-Playing,SquareSoft,,2000.0,kaggle:ulrikthygepedersen/video-games-sales
175,Final Fantasy X-2,PS2,Role-Playing,Electronic Arts,,2003.0,kaggle:ulrikthygepedersen/video-games-sales
176,Donkey Kong 64,N64,Platform,Nintendo,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
177,Assassin's Creed II,X360,Action,Ubisoft,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
178,Professor Layton and the Curious Village,DS,Puzzle,Nintendo,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
179,Tomb Raider II,PS,Action,Eidos Interactive,,1997.0,kaggle:ulrikthygepedersen/video-games-sales
180,Madden NFL 2004,PS2,Sports,Electronic Arts,,,kaggle:ulrikthygepedersen/video-games-sales
181,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
182,Diablo III,PC,Role-Playing,Activision,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
183,Super Mario Bros. 3,GBA,Platform,Nintendo,,2003.0,kaggle:ulrikthygepedersen/video-games-sales
184,New Super Mario Bros. U,WiiU,Platform,Nintendo,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
185,Super Mario Land 3: Wario Land,GB,Platform,Nintendo,,1994.0,kaggle:ulrikthygepedersen/video-games-sales
186,FIFA Soccer 13,X360,Action,Electronic Arts,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
187,The Legend of Zelda: Phantom Hourglass,DS,Action,Nintendo,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,Nintendo,,1995.0,kaggle:ulrikthygepedersen/video-games-sales
189,Tomodachi Life,3DS,Simulation,Nintendo,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
190,Mario & Sonic at the Olympic Games,DS,Sports,Sega,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
191,Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,,2003.0,kaggle:ulrikthygepedersen/video-games-sales
192,Kirby's Dream Land,GB,Platform,Nintendo,,1992.0,kaggle:ulrikthygepedersen/video-games-sales
