meta_game_id,title,platform,meta_score,user_score,release_date,developer,publisher,genre,source
427,,,,,,,,,kaggle:mohamedhanyyy/video-games
428,,,,,,,,,kaggle:mohamedhanyyy/video-games
429,,,,,,,,,kaggle:mohamedhanyyy/video-games
430,,,,,,,,,kaggle:mohamedhanyyy/video-games
431,,,,,,,,,kaggle:mohamedhanyyy/video-games
432,,,,,,,,,kaggle:mohamedhanyyy/video-games
433,,,,,,,,,kaggle:mohamedhanyyy/video-games
434,,,,,,,,,kaggle:mohamedhanyyy/video-games
435,,,,,,,,,kaggle:mohamedhanyyy/video-games
436,,,,,,,,,kaggle:mohamedhanyyy/video-games
437,,,,,,,,,kaggle:mohamedhanyyy/video-games
438,,,,,,,,,kaggle:mohamedhanyyy/video-games
439,,,,,,,,,kaggle:mohamedhanyyy/video-games
440,,,,,,,,,kaggle:mohamedhanyyy/video-games
441,,,,,,,,,kaggle:mohamedhanyyy/video-games
442,,,,,,,,,kaggle:mohamedhanyyy/video-games
443,,,,,,,,,kaggle:mohamedhanyyy/video-games
444,,,,,,,,,kaggle:mohamedhanyyy/video-games
445,,,,,,,,,kaggle:mohamedhanyyy/video-games
446,,,,,,,,,kaggle:mohamedhanyyy/video-games
447,,,,,,,,,kaggle:mohamedhanyyy/video-games
448,,,,,,,,,kaggle:mohamedhanyyy/video-games
449,,,,,,,,,kaggle:mohamedhanyyy/video-games
450,,,,,,,,,kaggle:mohamedhanyyy/video-games
451,,,,,,,,,kaggle:mohamedhanyyy/video-games
452,,,,,,,,,kaggle:mohamedhanyyy/video-games
453,,,,,,,,,kaggle:mohamedhanyyy/video-games
454,,,,,,,,,kaggle:mohamedhanyyy/video-games
455,,,,,,,,,kaggle:mohamedhanyyy/video-games
456,,,,,,,,,kaggle:mohamedhanyyy/video-games
457,,,,,,,,,kaggle:mohamedhanyyy/video-games
458,,,,,,,,,kaggle:mohamedhanyyy/video-games
459,,,,,,,,,kaggle:mohamedhanyyy/video-games
460,,,,,,,,,kaggle:mohamedhanyyy/video-games
461,,,,,,,,,kaggle:mohamedhanyyy/video-games
462,,,,,,,,,kaggle:mohamedhanyyy/video-games
463,,,,,,,,,kaggle:mohamedhanyyy/video-games
464,,,,,,,,,kaggle:mohamedhanyyy/video-games
465,,,,,,,,,kaggle:mohamedhanyyy/video-games
466,,,,,,,,,kaggle:mohamedhanyyy/video-games
467,,,,,,,,,kaggle:mohamedhanyyy/video-games
468,,,,,,,,,kaggle:mohamedhanyyy/video-games
469,,,,,,,,,kaggle:mohamedhanyyy/video-games
470,,,,,,,,,kaggle:mohamedhanyyy/video-games
471,,,,,,,,,kaggle:mohamedhanyyy/video-games
472,,,,,,,,,kaggle:mohamedhanyyy/video-games
473,,,,,,,,,kaggle:mohamedhanyyy/video-games
474,,,,,,,,,kaggle:mohamedhanyyy/video-games
475,,,,,,,,,kaggle:mohamedhanyyy/video-games
